,Half Squat - TB,Back Squat & Shoulder Press,Spooky Squat - DI,Arm Curl - DB,Tuck Jumps,Triceps Bench Dips,Triceps Dips,Torsional Backward Throw - MB,Torsion - SB FW,Standing Disc Press,Staggered Half Back Squat,Staggered Quarter Squat - FW,SA Squat Jump - DB,Half Back Squat - BB,Sissy Squat - belt,Half Squat - KS,SL Squat - KS,Deep Back Squat,Acceleration Squat - FW,SL Acceleration Squat - FW,Half Squat - FW,Split Jerk,Hip thrust -BB,Deadlift - BB,SL RDL - BW,SL Hip Thrust - KB,SL RDL - DB,SL Crab Hip Thrust,Push up - Knee,Push up - Jump,Push Up - Fly,Bench press - BB,Sled Acceleration,Military Press - DB,Military Press - BB,Glute Bridge SL Reach Reflex,Trx row,V-Sit Vertical Throw - MB,Throw down - MB,Squat Rows - FW,Side plank - Row,SHS Knee Ext Taps to Drop Step Accel,Rows Sitting SA - FW,Rows - Bent Over SA DB,Ankle Jumps (10-5),Donkey Calf,ZigZag 8 - EC Side,Zig-Zag - EC Side,Toe Back Squat,Toe Squat,Sprinter Plank - Wall,Sled Side Run,Sled March - T,Sled Lateral Pull Alt - T,Sled Crawl,Sled Carioca,Sled Back to Forward Acceleration,Skull Crasher - DB
middle_trapezius-l,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,4;5;6,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
middle_trapezius-r,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,4;5;6,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
lower_trapazius-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;5,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;0;0,1;5;3,0;0;0,4;5;6,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;6;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
lower_trapazius-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,1;3;5,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,2;3;4,2;3;4,0;0;0,3;3;7,5;3;6,3;3;4,0;0;0,1;5;3,0;0;0,4;5;6,5;3;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;6;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0
rhomboid_minor-l,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,0;3;0,0;3;0,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,4;5;7,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
rhomboid_minor-r,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,0;3;0,0;3;0,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,4;5;7,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
rhomboid_major-r,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,0;3;0,0;3;0,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,4;5;7,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
rhomboid_major-l,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,1;3;7,2;2;7,0;3;5,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;2;0,0;3;0,0;3;0,0;0;0,3;3;7,5;3;6,3;3;4,0;3;0,1;5;3,0;0;0,4;5;7,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;6;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
supraspinatus-r,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;4;0,3;2;7,3;2;7,0;0;0,3;2;6,5;3;6,3;2;6,0;3;0,1;4;5,0;0;0,0;3;0,4;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
supraspinatus-l,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;4;0,3;2;7,3;2;7,0;0;0,3;2;6,5;3;6,3;2;6,0;3;0,1;4;5,0;0;0,0;3;0,4;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
infraspinatus-r,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;4;0,3;2;7,3;2;7,0;0;0,3;2;6,5;3;6,3;2;6,0;3;0,1;4;5,0;0;0,0;3;0,4;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
infraspinatus-l,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;4;0,3;2;7,3;2;7,0;0;0,3;2;6,5;3;6,3;2;6,0;3;0,1;4;5,0;0;0,0;3;0,4;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
teres_mami_r,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;4;0,3;2;7,3;2;7,0;0;0,3;2;6,5;3;6,3;2;6,0;3;0,1;4;5,0;0;0,4;5;6,3;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
teres_mami-l,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;6,3;2;6,3;2;6,3;2;6,0;4;0,3;2;7,3;2;7,0;0;0,3;2;6,5;3;6,3;2;6,0;3;0,1;4;5,0;0;0,4;5;6,3;2;5,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
latisimus_dorsi-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,1;2;8,1;2;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,1;3;1,1;3;1,1;3;1,0;1;0,0;4;0,0;0;0,0;0;0,0;2;0,4;2;8,4;3;7,3;2;6,0;0;0,3;2;8,0;0;0,5;6;8,6;3;8,0;5;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;7;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
latisimus_dorsi-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,1;2;8,1;2;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,1;3;1,1;3;1,1;3;1,0;1;0,0;4;0,0;0;0,0;0;0,0;2;0,4;2;8,4;3;7,3;2;6,0;0;0,3;2;8,0;0;0,5;6;8,6;3;8,0;5;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;7;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0
deltoid_posterior-r,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,2;4;8,0;0;0,0;5;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;7,5;2;7,5;2;7,5;2;7,0;0;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,4;5;6,3;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
deltoid_posterior-l,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;6,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,2;4;8,0;0;0,0;5;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;7,5;2;7,5;2;7,5;2;7,0;0;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,4;5;6,3;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
deltoid_lateral-r,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;8,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,2;4;8,0;0;0,0;5;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;7,5;2;7,5;2;7,5;2;7,0;0;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,4;5;6,3;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
deltoid_lateral-l,0;3;0,0;3;0,0;3;0,1;2;3,0;0;0,0;0;0,0;0;0,1;2;8,2;2;7,0;2;9,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,2;4;8,0;0;0,0;5;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;7,5;2;7,5;2;7,5;2;7,0;0;0,6;4;9,6;4;9,0;0;0,3;2;7,5;3;7,3;2;6,0;3;0,2;3;6,0;0;0,4;5;6,3;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;4;0,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,1;3;1,0;6;0
triceps_brachi_lateral_head-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,1;2;8,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,4;5;6,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
triceps_brachi_lateral_head-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,1;2;8,1;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,4;5;6,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
triceps_brachi_medial_head-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,4;5;6,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
triceps_brachi_medial_head-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,4;5;6,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
triceps_brachi_long_head-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,4;5;6,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
triceps_brachi_long_head-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,8;2;9,8;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;4,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,4;3;6,4;3;6,0;0;0,3;2;7,6;3;8,2;2;7,0;0;0,2;3;6,0;0;0,4;5;6,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;6;8
wrist_extensors-r,0;0;0,0;0;0,0;0;0,1;2;6,0;0;0,0;3;3,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;4;0,0;4;0,0;3;0,0;3;0,1;3;1,0;3;0,0;0;0,0;2;0,0;0;0,0;4;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0
wrist_extensors-l,0;0;0,0;0;0,0;0;0,1;2;6,0;0;0,0;3;3,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;4;0,0;4;0,0;3;0,0;3;0,1;3;1,0;3;0,0;0;0,0;2;0,0;0;0,0;4;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0
finger_extensors-r,0;0;0,0;0;0,0;0;0,1;2;6,0;0;0,0;3;3,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;4;0,0;4;0,0;3;0,0;3;0,1;3;1,0;3;0,0;0;0,0;2;0,0;0;0,0;4;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
finger_extensors-l,0;0;0,0;0;0,0;0;0,1;2;6,0;0;0,0;3;3,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;4;0,0;4;0,0;3;0,0;3;0,1;3;1,0;3;0,0;0;0,0;2;0,0;0;0,0;4;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
serratus_posterior,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
quadratus_lumborum-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,3;5;5,0;0;0,4;5;6,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
quadratus_lumborum-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,3;5;5,0;0;0,4;5;6,6;3;8,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
gluteus_medius-r,7;2;8,8;2;9,7;2;8,0;0;0,7;3;9,0;0;0,0;0;0,1;3;5,3;2;5,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,8;2;9,8;2;9,7;2;8,2;3;6,8;2;9,8;2;9,7;2;8,8;2;9,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,8;3;9,0;3;0,0;3;0,8;2;9,0;0;0,0;2;0,3;3;7,7;2;8,0;4;0,4;1;4,0;4;0,0;2;0,7;3;7,0;5;0,7;2;8,7;2;8,7;2;8,7;2;8,4;5;6,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,0;0;0
gluteus_medius-l,7;2;8,8;2;9,7;2;8,0;0;0,7;3;9,0;0;0,0;0;0,1;3;5,3;2;5,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,8;2;9,8;2;9,7;2;8,2;3;6,8;2;9,8;2;9,7;2;8,8;2;9,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,8;3;9,0;3;0,0;3;0,8;2;9,0;0;0,0;2;0,3;3;7,7;2;8,0;4;0,4;1;4,0;4;0,0;2;0,7;3;7,0;5;0,7;2;8,7;2;8,7;2;8,7;2;8,4;5;6,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,0;0;0
gluteus_minimus-r,7;2;8,8;2;9,7;2;8,0;0;0,7;3;9,0;0;0,0;0;0,1;3;5,3;2;5,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,8;2;9,8;2;9,7;2;8,2;3;6,8;2;9,8;2;9,7;2;8,8;2;9,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,8;3;9,0;3;0,0;3;0,8;2;9,0;0;0,0;2;0,3;3;7,7;2;8,0;4;0,4;1;4,0;4;0,0;2;0,7;3;7,0;5;0,7;2;8,7;2;8,7;2;8,7;2;8,4;5;6,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,0;0;0
gluteus_minimus-l,7;2;8,8;2;9,7;2;8,0;0;0,7;3;9,0;0;0,0;0;0,1;3;5,3;2;5,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,8;2;9,8;2;9,7;2;8,2;3;6,8;2;9,8;2;9,7;2;8,8;2;9,7;2;8,8;2;9,0;0;0,0;3;0,0;3;0,0;0;0,8;3;9,0;3;0,0;3;0,8;2;9,0;0;0,0;2;0,3;3;7,7;2;8,0;4;0,4;1;4,0;4;0,0;2;0,7;3;7,0;5;0,7;2;8,7;2;8,7;2;8,7;2;8,4;5;6,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,8;3;9,0;0;0
