,Half Squat - TB,Back Squat & Shoulder Press,Spooky Squat - DI,Arm Curl - DB,Tuck Jumps,Triceps Bench Dips,Triceps Dips,Torsional Backward Throw - MB,Torsion - SB FW,Standing Disc Press,Staggered Half Back Squat,Staggered Quarter Squat - FW,SA Squat Jump - DB,Half Back Squat - BB,Sissy Squat - belt,Half Squat - KS,SL Squat - KS,Deep Back Squat,Acceleration Squat - FW,SL Acceleration Squat - FW,Half Squat - FW,Split Jerk,Hip thrust -BB,Deadlift - BB,SL RDL - BW,SL Hip Thrust - KB,SL RDL - DB,SL Crab Hip Thrust,Push up - Knee,Push up - Jump,Push Up - Fly,Bench press - BB,Sled Acceleration,Military Press - DB,Military Press - BB,Glute Bridge SL Reach Reflex,Trx row,V-Sit Vertical Throw - MB,Throw down - MB,Squat Rows - FW,Side plank - Row,SHS Knee Ext Taps to Drop Step Accel,Rows Sitting SA - FW,Rows - Bent Over SA DB,Ankle Jumps (10-5),Donkey Calf,ZigZag 8 - EC Side,Zig-Zag - EC Side,Toe Back Squat,Toe Squat,Sprinter Plank - Wall,Sled Side Run,Sled March - T,Sled Lateral Pull Alt - T,Sled Crawl,Sled Carioca,Sled Back to Forward Acceleration,Skull Crasher - DB
iliopsoas-l,0;5;0,0;5;0,0;5;0,0;0;0,4;3;4,0;0;0,0;0;0,0;4;0,2;2;6,0;4;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;4;0,0;5;0,1;5;2,0;4;0,0;5;0,0;4;0,2;5;4,0;0;0,0;3;0,0;3;0,0;0;0,0;5;0,0;4;0,0;4;0,0;5;0,0;4;0,0;3;0,0;4;0,0;5;0,0;4;0,0;3;0,0;4;0,0;4;0,5;2;6,0;5;0,5;4;6,5;4;6,0;5;0,0;5;0,4;5;6,2;5;4,2;5;4,2;5;4,2;5;4,2;5;4,2;5;4,0;2;0
pectineus-r,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0
pectineus-l,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,4;2;5,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,0;0;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
adductor_brevis-r,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,0;0;0,0;3;0,0;2;0,0;0;0,5;2;6,0;5;0,0;0;0,0;4;0,0;0;0,4;2;;4,0;0;0,5;4;6,5;4;6,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
adductor_brevis-l,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,0;0;0,0;3;0,0;2;0,0;0;0,5;2;6,0;5;0,0;0;0,0;4;0,0;0;0,4;2;;4,0;0;0,5;4;6,5;4;6,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
adductor_longus-l,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,0;0;0,0;3;0,0;2;0,0;0;0,5;2;6,0;5;0,0;0;0,0;4;0,0;0;0,4;2;;4,0;0;0,5;4;6,5;4;6,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
adductor_longus-r,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;3;0,0;3;0,0;0;0,0;3;0,0;2;0,0;0;0,5;2;6,0;5;0,0;0;0,0;4;0,0;0;0,4;2;;4,0;0;0,5;4;6,5;4;6,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
hip_deep_muscles-r,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;4;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;0;0,0;0;0,0;3;0,0;2;0,0;2;0,0;0;0,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
hip_deep_muscles-l,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,0;4;0,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;0;0,0;0;0,0;3;0,0;2;0,0;2;0,0;0;0,0;0;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
gracilis-r,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;4;0,0;2;0,0;2;0,0;0;0,0;2;0,0;0;0,2;1;3,0;0;0,0;3;0,0;3;0,0;0;0,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;0;0,5;2;6,0;3;0,0;0;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,0;0;0,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,0;0;0
