epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2555.27,0.60233,1.77177,0,0.43158,0.92026,0.98083,0.98311,0.99387,0.9507,0.96379,0.96586,0.97964,0.83356,0.35181,0.93207,0,0.2711,0.80777,0.008614,0.008614,0.008614
30,2642.2,0.59608,1.69185,0,0.42589,0.92024,0.9808,0.98112,0.99362,0.95735,0.9626,0.96143,0.97842,0.83483,0.33969,0.92334,0,0.26678,0.80582,0.0085645,0.0085645,0.0085645
31,2727.63,0.59611,1.72678,0,0.42617,0.92048,0.98188,0.98287,0.99415,0.95157,0.96269,0.96377,0.97857,0.83234,0.34311,0.90764,0,0.26323,0.80508,0.008515,0.008515,0.008515
32,2814.24,0.59424,1.70925,0,0.4212,0.91999,0.97389,0.98933,0.99326,0.95648,0.96858,0.95419,0.97988,0.83905,0.34026,0.91789,0,0.25972,0.80547,0.0084655,0.0084655,0.0084655
33,2901.72,0.58546,1.67556,0,0.41834,0.9147,0.96352,0.98826,0.99234,0.95215,0.94975,0.96829,0.98334,0.83639,0.34257,0.9135,0,0.26769,0.80853,0.008416,0.008416,0.008416
34,2988.08,0.58423,1.68642,0,0.41287,0.91559,0.98558,0.98399,0.99404,0.95917,0.96985,0.96798,0.98378,0.84616,0.33531,0.88966,0,0.24991,0.8062,0.0083665,0.0083665,0.0083665
35,3074.89,0.58215,1.64474,0,0.41489,0.91462,0.98517,0.98826,0.99441,0.95749,0.98257,0.96257,0.98103,0.85059,0.33097,0.88606,0,0.24681,0.80466,0.008317,0.008317,0.008317
36,3160.76,0.58011,1.64721,0,0.41316,0.91307,0.98194,0.98639,0.99406,0.96052,0.96706,0.97145,0.9853,0.84902,0.31995,0.86671,0,0.24938,0.80418,0.0082675,0.0082675,0.0082675
37,3249.72,0.57742,1.64252,0,0.41153,0.91391,0.97978,0.98267,0.99401,0.96005,0.97642,0.95838,0.98524,0.84894,0.32324,0.85469,0,0.24584,0.80273,0.008218,0.008218,0.008218
38,3339.58,0.57391,1.62984,0,0.41283,0.91036,0.97793,0.98719,0.99422,0.96061,0.96259,0.97225,0.98613,0.8542,0.32167,0.85323,0,0.24286,0.80353,0.0081685,0.0081685,0.0081685
39,3426.7,0.56688,1.61506,0,0.40365,0.91264,0.97478,0.98989,0.99385,0.9585,0.9709,0.96134,0.97943,0.84656,0.32196,0.84662,0,0.23952,0.80145,0.008119,0.008119,0.008119
40,3512.83,0.56303,1.60578,0,0.40357,0.91193,0.97897,0.98506,0.9929,0.96012,0.96315,0.96905,0.98476,0.86365,0.3154,0.83543,0,0.24013,0.80311,0.0080695,0.0080695,0.0080695
41,3600,0.56745,1.58695,0,0.40317,0.9104,0.9833,0.98826,0.99413,0.96404,0.97736,0.96772,0.9863,0.86276,0.31203,0.83343,0,0.23543,0.8007,0.00802,0.00802,0.00802
42,3687.6,0.56334,1.56181,0,0.39973,0.91261,0.98195,0.98691,0.99425,0.96393,0.97693,0.96692,0.98687,0.86213,0.30794,0.82658,0,0.23624,0.79842,0.0079705,0.0079705,0.0079705
43,3775.78,0.55781,1.55088,0,0.39642,0.90724,0.98084,0.99039,0.9941,0.96696,0.96532,0.97332,0.98589,0.86588,0.3058,0.80617,0,0.23145,0.80041,0.007921,0.007921,0.007921
44,3864.03,0.55947,1.55002,0,0.39506,0.91127,0.98386,0.98399,0.99406,0.96589,0.96786,0.96798,0.98636,0.86739,0.30097,0.80836,0,0.23288,0.79774,0.0078715,0.0078715,0.0078715
45,3951.59,0.55478,1.53257,0,0.40021,0.90859,0.99025,0.97604,0.99426,0.96895,0.97941,0.96458,0.98668,0.87181,0.30171,0.79739,0,0.2294,0.79723,0.007822,0.007822,0.007822
46,4039.42,0.55257,1.5609,0,0.39445,0.90644,0.98536,0.98506,0.99406,0.96553,0.97918,0.96798,0.9866,0.86786,0.3017,0.80772,0,0.23255,0.80001,0.0077725,0.0077725,0.0077725
